======================================================================
  FIX HHI + PLAYERS_USED — Re-extract from ESPN
======================================================================
  Existing cache: 510 games
  Total games with ESPN data: 64838
  Already cached: 510
  To fetch: 64328

  Fetching player minutes from ESPN...
    100/64328 | success:100 errors:0 | 438min left
    200/64328 | success:200 errors:0 | 581min left
    300/64328 | success:300 errors:0 | 623min left
    400/64328 | success:400 errors:0 | 647min left
    500/64328 | success:500 errors:0 | 662min left
    600/64328 | success:600 errors:0 | 672min left
    700/64328 | success:700 errors:0 | 677min left
    800/64328 | success:800 errors:0 | 677min left
    900/64328 | success:900 errors:0 | 677min left
    1000/64328 | success:1000 errors:0 | 678min left
    1100/64328 | success:1100 errors:0 | 682min left
    1200/64328 | success:1200 errors:0 | 681min left
    1300/64328 | success:1300 errors:0 | 681min left
    1400/64328 | success:1400 errors:0 | 680min left
    1500/64328 | success:1500 errors:0 | 680min left
    1600/64328 | success:1600 errors:0 | 680min left
    1700/64328 | success:1700 errors:0 | 680min left
    1800/64328 | success:1800 errors:0 | 680min left
    1900/64328 | success:1900 errors:0 | 678min left
    2000/64328 | success:2000 errors:0 | 676min left
    2100/64328 | success:2100 errors:0 | 675min left
    2200/64328 | success:2200 errors:0 | 674min left
    2300/64328 | success:2300 errors:0 | 673min left
    2400/64328 | success:2400 errors:0 | 673min left
    2500/64328 | success:2500 errors:0 | 673min left
    2600/64328 | success:2600 errors:0 | 673min left
    2700/64328 | success:2700 errors:0 | 673min left
    2800/64328 | success:2800 errors:0 | 673min left
    2900/64328 | success:2900 errors:0 | 672min left
    3000/64328 | success:3000 errors:0 | 672min left
    3100/64328 | success:3100 errors:0 | 671min left
    3200/64328 | success:3200 errors:0 | 671min left
    3300/64328 | success:3300 errors:0 | 671min left
    3400/64328 | success:3400 errors:0 | 670min left
    3500/64328 | success:3500 errors:0 | 670min left
    3600/64328 | success:3600 errors:0 | 669min left
    3700/64328 | success:3700 errors:0 | 669min left
    3800/64328 | success:3800 errors:0 | 669min left
    3900/64328 | success:3900 errors:0 | 668min left
    4000/64328 | success:4000 errors:0 | 668min left
    4100/64328 | success:4100 errors:0 | 667min left
    4200/64328 | success:4200 errors:0 | 666min left
    4300/64328 | success:4300 errors:0 | 666min left
    4400/64328 | success:4400 errors:0 | 665min left
    4500/64328 | success:4500 errors:0 | 665min left
    4600/64328 | success:4600 errors:0 | 664min left
    4700/64328 | success:4700 errors:0 | 663min left
    4800/64328 | success:4800 errors:0 | 663min left
    4900/64328 | success:4900 errors:0 | 663min left
    5000/64328 | success:5000 errors:0 | 662min left
    5100/64328 | success:5100 errors:0 | 661min left
    5200/64328 | success:5200 errors:0 | 660min left
    5300/64328 | success:5300 errors:0 | 659min left
    5400/64328 | success:5400 errors:0 | 657min left
    5500/64328 | success:5500 errors:0 | 655min left
    5600/64328 | success:5599 errors:1 | 655min left
    5700/64328 | success:5699 errors:1 | 654min left
    5800/64328 | success:5799 errors:1 | 654min left
    5900/64328 | success:5899 errors:1 | 653min left
    6000/64328 | success:5999 errors:1 | 652min left
    6100/64328 | success:6099 errors:1 | 652min left
    6200/64328 | success:6199 errors:1 | 651min left
    6300/64328 | success:6299 errors:1 | 650min left
    6400/64328 | success:6399 errors:1 | 650min left
